match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,48.0,34.0,56.0,75.0,Low Pass,1.3780956,1.88,
8658,55.0,73.0,56.0,72.0,Ground Pass,-0.7853982,0.493,Incomplete
8658,45.0,63.0,29.0,54.0,Ground Pass,-2.629203,1.533,
8658,27.0,53.0,39.0,31.0,Ground Pass,-1.0714496,1.52,
8658,45.0,30.0,53.0,29.0,Ground Pass,-0.124354996,1.053,
8658,53.0,29.0,46.0,23.0,Ground Pass,-2.4329665,0.92,
8658,49.0,24.0,98.0,50.0,High Pass,0.48783645,2.88,Incomplete
8658,23.0,31.0,33.0,31.0,Low Pass,0.0,2.52,Incomplete
8658,20.0,12.0,19.0,15.0,Ground Pass,1.8925469,0.733,
8658,16.0,17.0,23.0,3.0,Ground Pass,-1.1071488,0.72,
8658,91.0,78.0,57.0,64.0,Ground Pass,-2.7509856,1.84,
8658,57.0,55.0,66.0,7.0,Ground Pass,-1.3854483,2.4,
8658,79.0,6.0,102.0,44.0,High Pass,1.0265158,1.92,Incomplete
8658,95.0,51.0,107.0,66.0,Low Pass,0.8960554,2.32,
8658,118.0,61.0,115.0,56.0,Ground Pass,-2.1112158,0.32,Incomplete
8658,22.0,4.0,43.0,14.0,Ground Pass,0.4444192,1.04,Incomplete
8658,81.0,69.0,92.0,56.0,Ground Pass,-0.8685394,0.92,
8658,93.0,56.0,113.0,40.0,High Pass,-0.67474097,1.12,Incomplete
8658,60.0,40.0,50.0,41.0,Ground Pass,3.041924,1.213,
8658,50.0,42.0,48.0,49.0,Ground Pass,1.849096,1.08,
8658,52.0,58.0,53.0,77.0,Ground Pass,1.5182133,1.453,
8658,52.0,77.0,42.0,68.0,Ground Pass,-2.4087775,1.093,
8658,43.0,68.0,33.0,26.0,Ground Pass,-1.8045396,1.813,
8658,33.0,28.0,42.0,21.0,Ground Pass,-0.66104317,0.893,
8658,40.0,25.0,47.0,63.0,Ground Pass,1.388628,1.973,
8658,68.0,60.0,77.0,79.0,Ground Pass,1.1284221,1.453,
8658,80.0,79.0,101.0,63.0,High Pass,-0.65107673,0.96,Incomplete
8658,20.0,18.0,33.0,17.0,Ground Pass,-0.07677189,1.2,
8658,34.0,12.0,34.0,2.0,Ground Pass,-1.5707964,0.6,
8658,34.0,2.0,45.0,10.0,Ground Pass,0.6287963,1.32,
8658,102.0,74.0,112.0,52.0,High Pass,-1.1441689,1.146,
8658,6.0,42.0,79.0,39.0,High Pass,-0.04107278,3.76,
8658,43.0,49.0,31.0,79.0,Low Pass,1.9513026,3.133,Out
8658,91.0,1.0,54.0,3.0,High Pass,3.0875912,3.373,
8658,48.0,3.0,25.0,30.0,Ground Pass,2.2763646,2.96,
8658,25.0,30.0,79.0,3.0,High Pass,-0.4636476,4.08,Incomplete
8658,42.0,78.0,54.0,77.0,High Pass,-0.08314123,0.72,Incomplete
8658,67.0,4.0,87.0,25.0,High Pass,0.8097836,1.72,Incomplete
8658,38.0,78.0,56.0,79.0,Ground Pass,0.055498507,1.173,
8658,55.0,78.0,44.0,70.0,Ground Pass,-2.5127964,1.133,
8658,45.0,72.0,38.0,79.0,Ground Pass,2.3561945,1.133,
8658,38.0,78.0,33.0,71.0,Ground Pass,-2.1910458,1.72,
8658,49.0,65.0,63.0,71.0,Ground Pass,0.4048918,0.893,Incomplete
8658,57.0,25.0,64.0,35.0,Ground Pass,0.9600704,1.96,
8658,64.0,35.0,90.0,50.0,Ground Pass,0.5232783,1.68,
8658,77.0,3.0,89.0,6.0,Ground Pass,0.24497867,0.76,
8658,85.0,8.0,115.0,41.0,High Pass,0.8329813,2.0,Incomplete
8658,90.0,57.0,88.0,25.0,High Pass,-1.6332152,1.907,Incomplete
8658,77.0,48.0,93.0,71.0,Ground Pass,0.96299434,2.333,
8658,106.0,66.0,108.0,29.0,High Pass,-1.5167948,1.906,
8658,7.0,43.0,77.0,50.0,High Pass,0.09966865,3.72,Incomplete
